,año,mes,fecha,hora_hecho,delito,categoria_delito,sexo,edad,tipo_persona,colonia ,alcaldía,latitud,longitud
16182,2023,Abril,2023-04-17,11:00:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,33,FISICA,NONOALCO TLATELOLCO,CUAUHTEMOC,19.4521047063236,-99.1316499300979
16183,2023,Abril,2023-04-18,08:05:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,34,FISICA,DOCTORES,CUAUHTEMOC,19.4228768742238,-99.1529639004226
16184,2023,Abril,2023-04-11,10:10:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,34,FISICA,ROMA SUR,CUAUHTEMOC,19.4064809704978,-99.160443310219
16185,2023,Abril,2023-04-19,16:45:00,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,DELITO DE BAJO IMPACTO,Femenino,29,FISICA,CONDESA,CUAUHTEMOC,19.4125710162803,-99.1801576301939
16186,2023,Abril,2023-04-16,11:00:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,49,FISICA,CUAUHTÉMOC,CUAUHTEMOC,19.4317771079532,-99.1639405496215
16187,2023,Abril,2023-04-16,07:40:00,ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,Femenino,24,FISICA,DOCTORES,CUAUHTEMOC,19.4072020861194,-99.1551706200978
16188,2023,Marzo,2023-03-11,12:00:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,35,FISICA,ROMA NORTE,CUAUHTEMOC,19.4123108815848,-99.1631472903138
16189,2023,Abril,2023-04-18,02:00:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,33,FISICA,CONDESA,CUAUHTEMOC,19.4116797873101,-99.174031910265
16190,2023,Abril,2023-04-17,06:15:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,51,FISICA,DOCTORES,CUAUHTEMOC,19.4250539686668,-99.1434466798248
16191,2023,Abril,2023-04-15,08:00:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,36,FISICA,ROMA NORTE,CUAUHTEMOC,19.419341093566,-99.1740122402507
