_c0,año,mes,fecha,hora_hecho,delito,categoria_delito,sexo,edad,tipo_persona,colonia,alcaldía,latitud,longitud
15067,2023,Enero,2023-01-19,2024-11-11T11:40:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,38,FISICA,ROMA NORTE,CUAUHTEMOC,19.4205450229195,-99.1563261997266
15068,2023,Enero,2023-01-18,2024-11-11T23:45:00.000Z,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,Masculino,34,FISICA,TABACALERA,CUAUHTEMOC,19.4376115886418,-99.1527421899834
15070,2023,Enero,2023-01-19,2024-11-11T07:50:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,18,FISICA,HIPÓDROMO,CUAUHTEMOC,19.4113041327758,-99.1715933401634
15071,2023,Enero,2023-01-20,2024-11-11T05:30:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,28,FISICA,PAULINO NAVARRO,CUAUHTEMOC,19.4123084327092,-99.1293404997418
15072,2023,Enero,2023-01-20,2024-11-11T19:15:00.000Z,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,30,FISICA,BUENAVISTA,CUAUHTEMOC,19.4431046274518,-99.1523498302305
15073,2023,Enero,2023-01-20,2024-11-11T15:00:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,62,FISICA,NONOALCO TLATELOLCO,CUAUHTEMOC,19.4518589567876,-99.1383290298637
15074,2023,Enero,2023-01-19,2024-11-11T11:59:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,48,FISICA,TRANSITO,CUAUHTEMOC,19.4134495041995,-99.1292265102444
15075,2023,Enero,2023-01-20,2024-11-11T09:00:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,28,FISICA,VISTA ALEGRE,CUAUHTEMOC,19.4105217195502,-99.1314826899372
15076,2023,Enero,2023-01-20,2024-11-11T14:00:00.000Z,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,Masculino,28,FISICA,CENTRO URBANO BENITO JUÁREZ,CUAUHTEMOC,19.4097690716048,-99.156385660263
15078,2023,Enero,2023-01-20,2024-11-11T10:30:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,34,FISICA,OBRERA,CUAUHTEMOC,19.4175082116795,-99.1344773804301
15079,2023,Enero,2023-01-21,2024-11-11T09:00:00.000Z,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,45,FISICA,GUERRERO,CUAUHTEMOC,19.4467362874476,-99.1385200498569
15080,2023,Enero,2023-01-16,2024-11-11T09:15:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,36,FISICA,DOCTORES,CUAUHTEMOC,19.4168983076526,-99.148059190098
15081,2023,Enero,2023-01-20,2024-11-11T11:10:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,48,FISICA,ROMA NORTE,CUAUHTEMOC,19.4194633602188,-99.1617491802646
15082,2023,Enero,2023-01-10,2024-11-11T01:22:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,35,FISICA,SAN RAFAEL,CUAUHTEMOC,19.4357010094884,-99.1587147103462
15084,2023,Enero,2023-01-21,2024-11-11T07:30:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,60,FISICA,DOCTORES,CUAUHTEMOC,19.4194058158448,-99.1488705103152
15085,2023,Enero,2023-01-22,2024-11-11T10:20:00.000Z,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,Masculino,39,FISICA,TABACALERA,CUAUHTEMOC,19.432773827692,-99.1561566895497
15086,2023,Enero,2023-01-22,2024-11-11T03:00:00.000Z,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,Masculino,21,FISICA,HIPÓDROMO,CUAUHTEMOC,19.4134128396941,-99.1697068399688
15087,2023,Enero,2023-01-17,2024-11-11T08:30:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,65,FISICA,ALGARIN,CUAUHTEMOC,19.4065565642849,-99.1417391998628
15088,2023,Enero,2023-01-21,2024-11-11T11:15:00.000Z,ROBO DE MOTOCICLETA SIN VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,Masculino,26,FISICA,GUERRERO,CUAUHTEMOC,19.4395186176272,-99.1444055696345
