_c0,año,mes,fecha,hora_hecho,delito,categoria_delito,sexo,edad,tipo_persona,colonia,alcaldía,latitud,longitud
18100,2023,Septiembre,2023-09-25,2024-11-11 20:45:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,48,FISICA,MORELOS,CUAUHTEMOC,19.4498590769616,-99.1271999398741
18108,2023,Septiembre,2023-09-26,2024-11-11 13:20:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,30,FISICA,BUENAVISTA,CUAUHTEMOC,19.4450982128648,-99.1535705495325
18115,2023,Septiembre,2023-09-27,2024-11-11 11:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,25,FISICA,CENTRO,CUAUHTEMOC,19.4344319260186,-99.127648029631
18116,2023,Septiembre,2023-09-22,2024-11-11 21:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,29,FISICA,CENTRO,CUAUHTEMOC,19.4326107699926,-99.1479335697553
18118,2023,Septiembre,2023-09-23,2024-11-11 22:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,42,FISICA,HIPÓDROMO,CUAUHTEMOC,19.4024442121585,-99.1696444503601
18134,2023,Septiembre,2023-09-28,2024-11-11 22:10:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,33,FISICA,CENTRO,CUAUHTEMOC,19.4349210726532,-99.1458154802355
18137,2023,Septiembre,2023-09-29,2024-11-11 00:10:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,62,FISICA,JUÁREZ,CUAUHTEMOC,19.4288221656151,-99.1629087900392
18144,2023,Septiembre,2023-09-29,2024-11-11 19:45:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,33,FISICA,ROMA SUR,CUAUHTEMOC,19.4098248698664,-99.1646392900699
18154,2023,Septiembre,2023-09-28,2024-11-11 20:20:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,39,FISICA,CENTRO,CUAUHTEMOC,19.4410065987688,-99.13111887011
18155,2023,Septiembre,2023-09-30,2024-11-11 19:15:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,29,FISICA,CENTRO,CUAUHTEMOC,19.4436236325654,-99.1369234604763
18161,2023,Septiembre,2023-09-30,2024-11-11 17:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,22,FISICA,CENTRO,CUAUHTEMOC,19.4380626961753,-99.1284728901521
18162,2023,Septiembre,2023-09-30,2024-11-11 09:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,25,FISICA,CENTRO,CUAUHTEMOC,19.4388559408115,-99.1356736403978
18163,2023,Junio,2023-06-30,2024-11-11 20:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,26,FISICA,CENTRO,CUAUHTEMOC,19.4384116210061,-99.1388693202669
18164,2023,Septiembre,2023-09-30,2024-11-11 17:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,25,FISICA,CENTRO,CUAUHTEMOC,19.4347646660038,-99.1297667500116
18165,2023,Septiembre,2023-09-30,2024-11-11 22:15:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,43,FISICA,CENTRO,CUAUHTEMOC,19.4400750621419,-99.1250842804701
18167,2023,Septiembre,2023-09-30,2024-11-11 14:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,37,FISICA,CENTRO,CUAUHTEMOC,19.433152989204,-99.1432192295295
18168,2023,Septiembre,2023-09-30,2024-11-11 23:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,76,FISICA,CENTRO,CUAUHTEMOC,19.4366655269346,-99.140421150349
18175,2023,Septiembre,2023-09-29,2024-11-11 17:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,22,FISICA,GUERRERO,CUAUHTEMOC,19.4443925057469,-99.1401612495224
18182,2023,Octubre,2023-10-02,2024-11-11 02:50:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,22,FISICA,ROMA NORTE,CUAUHTEMOC,19.4229616087216,-99.1630885004457
18184,2023,Octubre,2023-10-02,2024-11-11 11:25:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,31,FISICA,CENTRO,CUAUHTEMOC,19.4237353614392,-99.1259776801332
18185,2023,Octubre,2023-10-02,2024-11-11 11:15:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,26,FISICA,HIPÓDROMO,CUAUHTEMOC,19.4065127173507,-99.1741870304656
